"sep=;"
zaxvat'íla;захватила
m'etróvъva;метрового
m'etróvym;метровым
éto;это
užé;уже
kotóry;который
tr'i;три
sъlómъj;соломы 
dy;да
solómъj;соломой
dyk;дык
čъc'v'órtyj;четвертый
šýf'iram;шифером
šýf'eram;шифером
ponráv'ilas''o;понравилося
mál'in'k'i;маленький
m'élk'i;мелкий
rózdana;роздана
pa;по
l'ud'ám;людям
sus'ét;сосед
óddanaja;отданная
fso;всё
zab'íta;забита
kъl'idór;корридор
javó;его
nášym;нашим
potóm;потом
pryv'az'l'í;привозили
ból'u;болью
jon;он
m'etróvy;метровый
ból'šy;больше
dva;два
m'étr'o;метра
vyxód'ija;выходила
núu;ну
bol'šój;большой
ji;и
kr'épk'i;крепкий
kr'épšy;крепче
byl;был
jétъva;этого
fs'ó;всё
dъbyvát';добывать
n'ékъmu;некому
že;же
v'et';ведь
onná;она
bylá;была
učýlъs''a;училась
jéz'd'ilъ;ездила
iššé;еще
dóma;дома
múčylъs';мучилась
tól'ko;только
t'ap'ér;теперь
žyvú;живу
tol'ko;только
žyt';жить
stála;стало
tyk;дык
ṷóčyn';очень
stáraja;старая
bul'éju;болею
m'en'á;меня
gъlová;голова
str'áxnuta;стяхнута
sval'íl'i;свалили
m'atála;металла
sstóg'i;стоги
pъn'imáš;понимаешь
stóg'i;стоги
um'atál'i;умотали
bal'šúščy;большущие
stók;стог
v'ík'i;вики
nъ;не
z'aml'í;земли
pos''éjena;посеяна
v'ekъje;вике
étъje;этое
plóščъt';площадь
kr'épkaja;крепкая
sm'atála;сметала
áa;а
pr'ivýška;привычка
durnája;дурная
ɣóspad'i;господи
ab'azát'el'na;обязательно
náda;надо
gъlavú;голову
pr'ikr'opát';прикрёпать
ty;ты
pan'imájiš;понимаешь
štóby;чтобы
glátka;гладко
ṷs''ó;всё
rъzlažýt';разложить
štoby;чтобы
sn'asló;снесло
bádu;баду
l'ídъ;лиде
d'aržý;держи
aný;они
tróje;трое
vóz'l'i;возили
stóga;стога
e;и
l'ída;лида
d'aržú;держу
m'ílyj;милый
mój;мой
tól'kъ;только
šaxnúla;жахнула
nagú;ногу
zan'aslá;занесла
v'ir'ófku;веревку
brós'il'i;бросили
nazát;назад
s'ab'á;себя
b'es;без
pám'at'i;памяти
l'ažú;лежу
jiššó;еще
drugój;другой
kampán'ja;компания
an'í;они
zakryšál'i;закричали
štъ;что
ój;ой
id'ít'e;идите
n'aščás't'je;несчастье
n'aščást'je;несчастье
janý;они
pr'ib'égl'i;прибегли
núuu;ну
b'is;без
soznán'ja;сознания
n'et;нет
pon'imála;понимала
n'ičevó;ничего
palažýl'i;положили
m'in'á;меня
t'il'égu;телегу
pъlažýl'i;положили
lóšъt';лошадь
étaje;этая
s'éna;сена
nъsc'al'íl'i;настелили
pr'iv'az'l'í;привязали
k;к
svajó;своё
bal'n'ícy;больницы
sъtr'as'én'ije;сотрясение
mózga;мозга
t'ep'ér';теперь
skól'k'i;скольки
got;год
n'aznáju;незнаю
skazát';сказать
gót;год
sъtr'as'én'e;сотрясение
pugódy;погоды
óoot;от
xad'í;ходи
óoj;ой
bal'í;боли
m'éstъ;месте
dъ;до
n'ée;неё
n'é;неё
jéta;эта
skazála;сказала
ad'ín;один
ée;её
slúšъj;слушай
prót'i;пройти
blъgadar'ú;благодарю
xr'istá;Христа
n'eb'ósnava;небесного
syn;сын
pošól;пошёл
po;по
xoróšym;хорошим
put'ám;путям
n'a;не
zválavalsa;звался
b'iz;без
occá;отца
jevó;его
á;а
s''m'an'íl;сменил
by;бы
n'éskal'ko;несколько
robót;работ
ta;да
fs'ú;всю
odnój;одной
robóty;работы
vr'ém'a;время
robótal;работал
ból'še;больше
tr'iccat'í;тридцать
l'et;лет
to;то
atpus't'íl'i;отпустили
p'én's'iju;пенсию
étava;этого
árm'iju;армию
uz'ál'i;взяли
bloɣodárnos';благодарность
mn'e;мне
pr'íslana;прислана
bol'šája;большая
kaká;какая
spas'íba;спасибо
marýja;мария
vy;вы
xoróševa;хорошего
sýna;сына
vas'p'itál'i;воспитали
on;он
nam;нам
z'd'és';здесь
v'ez'd'é;везде
fs'údy;всюду
pomogáju;помогаю
búd'it;будит
vam;вам
pomogát';помогать
póm'er;умер
ot'éc;отец
t'il'igrámu;телеграмму
árm'iji;армии
byṷ;был
d'éduška;дедушка
gvar'í;говори
pr'ixažú;прихожу
načál'stvu;начальству
an'íii;они
gavar'ú;говорю
mn'é;мне
mat';мать
p'islála;писала
gavar'íš;говоришь
znájaš;знаешь
my;мы
d'édučyk;дедушек
bábušyk;бабушек
atpuskájim;отпускаем
xaran'í;хорони
mát';мать
načál'n'iku;начальнику
gvar'ú;говорю
taváryš;товарищ
načál'n'ik;начальник
vas'p'ítyval;воспитывал
pag'ípšy;погибнув
vajnú;войну
pómn'u;помню
m'an'á;меня
vas'p'ítyvyl;воспитывал
d'és'it';десять
dn'éj;дней
xaran'ít';хоронить
tóža;тоже
xorošó;хорошо
íii;или
xъrošó;хорошо
v'ól;вёл
í;и
t'urmám;тюрмам
pus't'ífšy;пустив
n'egó;него
v'asnój;весной
pr'ijéd'e;приедет
apr'íl'i;апреле
m'ís'icy;месяце
žan'íṷs'o;женился
dóčka;дочка
zámuš;замуж
výšyṷšy;вышевши
jamú;ему
p'ijs'át;пятьдесят
šestój;сестрой
dúmaju;думал
s'ed'mój;седьмой
tr'íccat';тридцать
d'av'átava;девятого
rožžén'ije;рождение
pr'ijažžája;приезжает
usád'bu;усадьбу
s'p'ar'vá;сперва
mólody;молодой
r'étka;редко
pr'ijažžál;приезжал
ótpusk;отпуск
t'ip'ér;теперь
p'én's'i;пеньсии
pr'ijéxaṷšy;приехавши
próšly;прошлый
v'esnój;весной
adžýl;отжил
palav'ínu;половину
ščytáj;считай
l'éta;лета
ujéxъl;уехал
ós''in'ju;осенью
ap'át';опять
pr'ijéxъl;приехал
ub'irát';убирать
ogorót;огород
vo;во
pól'i;поле
usád'by;усадьбы
maɣú;могу
d'aržát';держать
z'aml'ú;землю
tól'ka;только
svój;свой
vós'em;восемь
sótъk;соток
xvatája;хватает
pakúdava;покудава
s'ém'is'it;семьдесят
d'av'átyj;девятый
vas'amnáccatava;восемнадцатого
býsra;быстро
gódy;годы
b'agút;бегут
xad'íla;ходила
mála;мала
brátъm;братом
rad'ífšy;родив
dvóječn'ik'i;двоечник
dvója;двое
ráza;раза
rad'íla;родила
máma;мама
dvóje;двое
brát;брат
éee;э
učýt'il'im;учили
učýlsa;учился
ṷ;в
pón'eṷ;понял
d'étstva;детство
stál;стал
učýcca;учится
učýt'el'em;учителем
d'ir'éktъram;директором
škóly;школы
býl;был
šyjs'átъm;шестьдесятым
gadú;году
ṷot;вот
nú;ну
jiščé;ещё
čytyr'óx;четырёх
klásof;класов
škólu;школу
togdá;тогда
zapás;запас
v'as''ít';возить
v'azl'í;везли
sám'i;сами
v'as''c'í;везти
n'ipošlá;не пошла
o;о
n'ixad'íla;не ходила
nav'érno;наверное
okónčyla;окончила
znáju;знаю
grámoty;грамоты
p'isát';писать
l'úd'i;люди
ščytát';считать
tovó;того
d'éstva;детство
s'amnáccatam;семнадцатом
s'amnáccatyj;семнадцатый
načálsa;начался
s'astrá;сестра
výšla;вышла
oná;она
jéz'd'ila;ездила
óz'era;озеро
pojéxala;поехала
occóm;отцом
óz'ir'i;озере
žýl'i;жили
z'imá;зима
z'imój;зимой
n'ed'él'im;не делим
l'dú;льда
tak'í;такой
dvá;два
pъlav'iká;половика
ъd'ajála;одеяло
vm'és's''i;вместе
sošý;сочи
sošýta;сшито
tak'íji;такие
nazyvál'is''e;назывались
dóm'ik'i;домики
dváccat';двадцать
čelov'ék;человек
étakъm;этоким
načъvála;ночевала
étaa;эта
ruká;рука
tudá;туда
úl'icu;улицу
uxú;уху
var'íl'i;варили
sъ;со
sn'atý;снят
lav'íl'i;ловили
vъt;вот
jaj;яй
krugóm;кругом
čugúnk'i;чугунки
spál'i;спали
káždy;каждый
d'e;где
s'eb'é;себя
kto;кто
kovó;кого
býlъ;был
vópščem;в общем
natápl'ival'i;натапливали
c'ópla;тепло
kón'i;кони
úl'icy;улицы
stojál'i;стояли
óz'erъ;озеро
vas'amnácatъm;восемнадцатом
vnačál'i;в начале
d'iv'atnácatava;девятнадцатого
pažýla;пожила
n'imnóška;немножко
xoz'ájina;хозяина
ub'íl'i;убили
tut;тут
pošlá;пошла
jéz'd'il'i;ездили
pojéz'd'ila;поездила
výučylsa;выучился
klásъf;классов
okónčyl;окончил
stáncyju;станцию
jámy;ему
xad'íṷ;ходил
stáncyjam;станциям
gr'ú;говорю
pojédu;поеду
l'en'ingrát;Ленинград
zdavát';сдавать
stupáj;ступай
zat'ém;затем
t'eb'á;тебя
učýṷ;учил
čylov'ékъm;человекам
pojéxъl;поехал
xot'él;хотели
pojéd'a;поедет
d'és'at';десять
p'ijažžája;приезжает
domój;домой
n'ézdal;не сдал
znáješ;знаешь
pr'ijéxafšy;приехавши
b'arú;беру
vz'átk'i;взятку
brál'i;играли
gavar'í;говори
zdál;ждал
kónkursu;конкурса
kakój;какой
kónkurs;конкурс
pan'imáju;понимаю
b;бы
praval'í;провали
p;бы
n'ézdal'i;не сдали
áaa;а
d'én'ek;денёк
učyt'al'ám;учителям
íx;их
pryv'adú;приведу
óz'ero;озеро
synó;сын
začým;зачем
učýla;учила
jéz'd'ic';ездить
s'íly;силы
t'eb'é;тебе
výučyt';выучить
žýz'n'i;жизни
put';путь
mojó;моё
ješčé;ещё
n'iušló;не ушло
fp'ir'ad'í;впереди
pъstup'íl;поступил
kъmsomól;комсомол
prajav'íl;проявил
s''eb'á;себя
robótn'ikъm;работником
p'érvyj;первый
maskv'é;Москве
f'es't'ivál';фестиваль
kogdá;когда
maskvú;Москву
atkúdava;откуда
f'es't'ivál;фестиваль
kolxóza;колхоза
xoróševo;хорошего
robótn'ika;работника
poslál'i;послали
f'es''t'ivál';фестиваль
sýnu;сыну
kudý;куда
pójd'iš;пойдёшь
molód'in'kъj;молодинькой
govor'á;говоря
fs'ák'ix;всяких
naróda;народа
fp'er'ad'í;впереди
iščé;ещё
učáccъ;учат
m'en'é;меня
posyláju;посылаю
d'én'g'i;деньги
dorógu;дорогу
pъsmatr'ú;посмотрю
moj;мой
pr'iježžája;приезжает
attúda;оттуда
ujažžáju;уезжаю
sláva;слова
bógu;богу
do;до
árm'ija;армия
propad'ó;пропадёт
učén'ije;учение
prapad'ó;пропадёт
pr'idúmъl;придумал
dožydáj;ожидай
árm'jo;армия
adbúd'iš;отбудешь
vóz'mu;возьму
pós''l'e;после
učýs'';учишь
xóčъš;хочешь
fstr'ét'il;всретил
tavár'iščuf;товарищей
kotórym;которым
xad'íl;ходили
účyccъ;учить
górъt;город
v'al'ík'ij;большой
gd'é;где
účъccъ;учить
skazál'i;сказали
móžna;можно
pъstupát';поступать
jéxъt';ехать
pojdú;пойду
jim;им
g'én'uška;Генушка
sýnъ;сын
poijdú;пойду
box;Бог
tobój;тобой
užó;уже
zadúmal;задумал
kap'itána;капитана
žan'ílsa;занялся
jeɣó;его
no;но
rubóty;работы
kap'itánam;капитанам
m'axán'ikam;механиком
robótъl;работал
kot'orám;котором
jéz'd'il;ездили
kak'íx;каких
ъz''óra;озеро
mor'á;море
kar'él'iju;Карелию
kar'él'iji;Карелии
górat;город
vród'i;вроде
n'edal'ekó;недалеко
at;от
zavóckъm;заводском
d'v'é;две
ustanófk'i;установки
jéxat';ехать
pójiz'd'i;поезде
jéxъla;ехала
jéz'd'i;езди
c'ep'ér;теперь
pójiz'd'e;поезде
l'en'ingráda;Ленинграда
sad'ícca;садится
pójest;поест
pójas;пояс
id'ó;идёт
takj'í;такой
d'alá;дела
žyl;жил
n'ed'él'u;неделю
subótu;субботу
pr'ixad'íl;приходил
vaskr'es'én'je;воскесенье
pon'ed'él'n'ik;понедельник
op'át';опять
uxъd'íl;уходил
p'eškóm;пешком
n'ičóva;ничего
n'ébyla;не было
xad'íl'i;ходили
ftarúju;вторую
s''m'énu;смену
nóčju;ночью
pr'ixъd'íl;приходили
ad'ínnycъt';одинадцать
ad'ínaccat';одинадцать
časóf;часов
nóčy;ночи
pr'i;при
xažú;хожу
karaúl'u;караулю
tu;ту
pras'íla;просила
vyp'itálsa;выпился
étъvo;этого
šo;что
p'itál'is''e;питались
sobój;собой
n'id'él'u;неделю
jad'á;яда
pras''íla;просила
astavl'áj;оставляй
kusóčyk;косочек
xl'épca;хлеба
šop;чтобы
pr'it'í;прийти
žýl;жил
davál'i;давали
jadý;еды
jemú;ему
stáncyji;станции
p'iškóm;песком
dójd'a;дойдёт
d'er'évn'i;деревни
načúje;ночует
útrъm;утром
pr'ixód'i;проходит
govor'í;говорит
gd'e;где
pódruk'i;под руки
xl'ép;хлеб
dajt'í;дайте
dómu;дому
vóz'im;возим
kartóšečk'i;картошечки
gur'éčkъf;огуречков
jadá;еда
p'itán'ije;питание
pós''l'i;пошли
vajný;войны
v'ek;век
pražýt';прожит
pól'e;поле
p'ir'ajt'í;перейти
nažyv'ós''a;наживёмся
fs''áka;всякое
paxáala;пахала
odná;одна
lášъt';лежат
znála;знала
lóšad'ju;лошадью
sajdú;сяду
pr'iv'azú;привезу
pól'a;поля
napr'agáju;
paxát';пахать
d'en';день
paxál'i;пахали
xoróša;хорошая
z'aml'á;земля
učástъk;участок
dl'ínny;длинный
čto;что
povorótyf;поворотов
p'ijs''át;пятьдесят
kon'á;коня
iščó;ещё
jédu;еду
pasr'ad'í;посреди
ub'iválas'';убивалась
fs'i;все
najéz'd'il'i;
jés'';есть
paṷtará;полтора
g'ektára;гектара
spášem;спасём
pojéxal'i;поехали
sórok;сорок
bъronovát';бороновать
zzád'i;сзади
baraný;бараны
fs'o;всё
paxála;пахала
brnovalá;бороновала
kas''ít';косить
kas''íla;косила
um'éju;умею
stag'í;стоги
padavát';подавать
janá;она
padavála;подавала
kas''í;косили
zd'és''a;здесь
póžn'ix;поздних
mox;мох
nazyválsa;наживался
kas'ít';косить
jeromáslava;
bol'šóje;большое
pól'u;полю
dl'ínna;длина
z'd'és''a;здесь
jéz'd'im;ездим
m'éždu;между
pol'áx;полях
pryjažžáj;приезжай
doróg'i;дороги
ét'im;этим
rán'šy;раньше
l'atála;летала
sъmol'ót;самолёт
pr'istavál;приставал
popol'ám;пополам
doróga;дорога
l'es;лес
sp'er'vá;сперва
tómu;тому
pr'is''adát'el';председатель
n'igd'é;нигде
bol'š;больше
n'iposážana;не посажено
n'ebýlo;не было
kartóšъčk'i;картошечки
n'ičóɣa;ничего
s'ar'pám;серпом
žál'i;жали
s'éjil'i;сеяли
róš;рожь
ov'ós;овёс
rukám;руками
s'er'rpók;серпок
ruk'í;руки
žm'óš;жмёшь
s'ar'póm;серпом
traktór;трактор
ét'ix;этих
traktoróf;тракторов
n'ébyl;не был
kambájina;комбайна
trъktoróf;тракторов
fs'u;всю
d'élal'i;делали
kas''íl'i;косили
kopál'i;копали
kartóšku;картошку
narót;народ
t'ižyló;тяжело
robóta;работа
robótъt';работать
tabój;тобой
robótъla;работала
onnój;одной
br'igády;бригады
žyv'ó;живёт
žénščyna;женщина
zámužym;замужем
štój;стой
óz''era;озеро
naučýla;научила
lóšad'i;лошади
plúg'i;плуги
xad'ít';ходить
vdovój;вдовой
pós'l'i;после
trójee;трое
d'érža;держа
t'ánu;тону
pl'ug'í;плуги
plúgu;плуги
t'anú;тону
s''éjal'i;сеяли
karm'ít';кормить
koróvy;коровы
kolxóz'i;колхозы
pr'is'adát'il';приседать
fs''á;вся
fs''i;все
zaras''l'í;заросли
travój;травой
s''ebé;себя
koróvu;корова
koróvam;коровам
mx'í;мхи
ét'i;эти
t'ep'ér;теперь
glás;глаз
pokázyvuj;показывал
t'ap'ér';теперь
robótyt';работать
jágъdy;ягоды
nas''íla;носила
gr'ibóf;грибов
sxód'iš;сходишь
s''ab'é;себе
pr'in'es''óš;принесёшь
kl'úkvu;клюкву
nas'íl'i;носили
pr'in'imál'i;принимали
d'ir'évn'i;деревни
pr'ijómščyk;приёмчик
nas''íl'i;носили
zdavál'i;сдавали
čarn'íka;черника
brus''n'íka;брисника
byl'í;были
kudáta;куда-то
s''udá;сюда
jágъdamy;ягодами
sudá;сюда
l'és;лес
d'er'ívn'a;деревня
z'd'és'';здесь
l'i;ли
brus''n'íkъj;брусникой
zd'es'';здесь
svajím;своим
sprášyvъt';спрашивать
fxad'íl;входил
któto;кто-то
sprášyvъl;спрашивал
sprášyval'i;спрашивали
z'd'es'';здесь
m'ésta;места
dom;дом
posrójil'i;построили
ustanófka;установка
prót'iṷ;против
drová;дрова
učýt'el'n'icy;учительницы
múžu;мужу
c'ótk'i;тётки
stáryx;старых
n'ébyl'i;не были
v'osná;весна
pr'išlá;пришла
t'ót'i;тёти
búd'it'i;будете
mojevó;моего
smotr'ét';смотреть
pajdú;пойду
robótu;работу
kolxós;колхоз
oj;ой
xto;кто
skazál;сказал
búd'im;будем
tvojuvó;твоего
gl'ad'ét';глядеть
rast'í;расти
ny;ну
búd'em;будем
tvojevó;твоего
búdu;буду
žýt';жить
t'er'ér;теперь
d'élъt';делать
s;с
mъgaz'ína;магазина
